Angle of BB diagonal,Aspect,Average curvature,Average squared speed,Bounding box area,Bounding box diagonal,Bounding box height,Bounding box width,Convex hull area ratio,Cos of first to last,Cos of initial angle,Curviness,DCR,Density 1,Density 2,Distance first to last,Enclosing rectangle ratio,Entropy,Least square error,Length perimeter ratio,Length ratio,Log BB area,Log aspect,Log longest BB side,Log total length,Max curvature,Max speed squared,Min speed squared,Movement,NDDE,Openness,Overtracing,Perimeter efficiency,Perimeter to area,Point ratio,Sharpness,Sin of first to last,Sin of initial angle,Thinness ratio,Total angle,Total angle / total length,Total duration,Total length,Total length / BB diagonal,Width to height ratio,Age,Shape
0.70294092593,0.0824572374671,0.15119776156964800,0.06662844036697250,58164,343.406464703,222,262,0.8316742314833920,-0.879291966537,-0.894427191,25.81423191900270,5.0160955518508800,30.3026710281,0.0142201697812,27.2946881279,1.1801801801801800,4.06239843361,1494513.39479,1.03862959661,30.3026710281,10.9710218856,-2.49547545376,5.56834450376,6.71792797056,0.7853981633974480,0.68,0.0025,33.11230978375300,0.9661362582476550,0.0794821616171,5.269987779274410,0.979062314436,0.0164623125214,0.296803652968,10.182847023495600,0.476283148541,0.4472135955,13.109592599,33.11230978375300,0.04003413312876110,1910,827.101955155,2.40852179609,1.18018018018,7,circle
0.842877546252,0.0574793828546,0.11685836389988400,0.8681119162640900,103020,455.421782527,340,303,0.8038050863909930,-0.994834142531,0.782823254756,5.657053593227170,6.808805758588710,20.2416306887,0.00967763747897,49.2544414241,0.8911764705882360,4.06788575131,1013984.27333,0.956967874816,20.2416306887,11.5426784231,-2.85632895453,5.82894561761,6.90474095355,0.7853981633974480,5.3,0.00125,8.180085472991890,0.9333274503722490,0.10815126398,1.3019010379408600,0.979146201747,0.0125811760827,0.757142857143,2.194965573357180,-0.101513688013,-0.622244125575,13.1073463944,8.180085472991890,0.008204780112827140,1510,996.990213084,2.18915794399,0.891176470588,4,circle
0.736937289883,0.0484608735146,0.23298789754982000,0.11972975352112700,46762,306.537110315,206,227,0.7755977075403110,-0.993532672656,-0.4472135955,13.778606503859700,7.887800765733630,21.1561248281,0.0159378206011,35.2278299076,1.1019417475728200,13.8300344034,855490.918264,1.08193242123,21.1561248281,10.7528261863,-3.02699853828,5.42495001748,6.61376584615,3.141592653589790,1.93,0.000625,33.31726934962430,0.9927353721579620,0.114921909036,5.302608107316800,0.980049141679,0.0189929437576,0.370629370629,25.1074145931724,0.113546591161,-0.894427191,13.0832053713,33.31726934962430,0.04470410332906900,1440,745.284366949,2.43130225304,1.10194174757,7,circle
0.751512833493,0.0338853299041,0.12170218925674000,0.26033333333333300,55632,333.946103436,228,244,0.7608816589614220,-0.93942221686,-0.939793423488,9.802691184935000,3.5122682566550200,10.5435078855,0.0149290216125,78.7718223732,0.6763236763236770,4.01331350542,618810.661409,1.1301251332,10.5435078855,10.9265138542,-3.38477310445,5.49716822529,6.72206565302,1.5707963267949000,4.81,0.005,12.900432061214500,0.9686589286408790,0.235881843096,2.0531675305634500,0.960668830696,0.0185281892163,0.556603773585,5.051598013001910,0.342762160206,-0.341743063087,13.6164051101,12.900432061214500,0.015532745833669800,830,830.531330349,2.48702207274,1.0701754386,7,circle
0.836516382306,0.0511182189087,0.2731451444482230,0.041406552706552700,46104,304.453608946,226,204,0.7840170823679070,0.34988624175,0.236956180191,23.661854608696400,2.9267591909888100,8.54661074805,0.0164244239444,88.6002257333,0.9246376811594210,38.80059704,1056112.42407,1.12150318575,8.54661074805,10.7386549931,-2.9736143109,5.42053499927,6.62966920601,1.5707963267949000,0.73,0.0008,64.18910894533230,0.8830443040632330,0.291013879061,10.216013981313800,0.975381104414,0.0195628870146,0.187234042553,36.14112175571730,-0.936792195652,-0.971520338783,13.2087338096,64.18910894533230,0.08476812830406140,2080,757.231641533,2.48718234661,0.902654867257,4,circle
0.815361944777,0.0299637813794,0.19239782161274300,0.3950674019607840,33642,259.624729177,189,178,0.7969767794485680,-0.912509324515,-0.995495472594,8.424894982257040,6.3212254214053400,19.6532177446,0.0185657520599,31.7804971641,1.035961272475800,4.93734658675,297966.300618,1.06031856999,19.6532177446,10.4235305654,-3.50776591403,5.24174701506,6.43709388273,1.5707963267949000,2.74,0.0025,13.275449691279200,0.9842430482002010,0.122409360868,2.1128534401348700,0.984956593755,0.021989618508,0.666666666667,6.610672607036660,-0.409055904093,-0.094809092628,12.9531585132,13.275449691279200,0.02125469554648270,1270,624.589030798,2.40573782312,0.941798941799,7,circle
0.872608088928,0.0872099255309,0.12581119574965500,0.3384047558922560,132932,519.576750827,398,334,0.7505986706915790,-0.954479978035,-0.988936352868,11.543154671945800,4.535085918209400,69.7058444467,0.0087900797204,16.7630546142,0.8161321054302960,5.00965592057,2440912.42461,1.03151500598,69.7058444467,11.7975929983,-2.43943712965,5.98645200528,7.06346150038,2.356194490192350,2.12,0.0004,16.732889034704100,0.9585804022862820,0.0322629035798,2.663122002081340,0.956661372546,0.0121212269909,0.488721804511,8.992576516984630,0.298274993136,-0.14834045293,13.7307223936,16.732889034704100,0.014320183340681300,2600,1168.48287739,2.24891293833,0.839195979899,6,circle
0.701910671135,0.0834874922624,0.14118314007480400,0.5446061507936510,226884,678.35683825,438,518,0.7988841491818440,-0.986393923832,-0.998460353205,13.779919935269400,4.947343340699840,124.792789394,0.00669139210677,12.1655250606,0.8552480417754570,7.1973520851,3536719.63591,1.02936730181,124.792789394,12.3321941526,-2.48305845161,6.24997524226,7.32526081386,0.7853981633974480,4.25,0.0044444444444444400,19.906822750547400,0.9977510990225290,0.0179338135545,3.1682692420038200,0.979740372666,0.00887642061676,0.439716312057,5.803730555374080,0.164398987305,-0.0554700196225,13.0914531175,19.906822750547400,0.013112382199941100,2940,1518.16980675,2.23801061794,1.18264840183,3,circle
0.705294704584,0.0801034588139,0.0949020070386496,0.7599722222222220,188871,618.580633386,401,471,0.773386703396279,-0.630592625094,0.0917769209649,7.152249309921550,5.402875934758330,33.4547397379,0.00730326125328,41.2310562562,0.7119144227222430,3.07012566986,1573492.58699,1.02155091559,33.4547397379,12.1488195213,-2.52443624464,6.15485809402,7.22938523776,0.6216632759283340,9.85,0.02,8.636082640517110,0.9912111556588710,0.0666542953834,1.3744752411884100,0.965983507493,0.00997351721882,0.659340659341,1.7815062828509300,-0.776114000116,-0.995779592469,13.4669869951,8.636082640517110,0.006260869812455080,800,1379.37425617,2.22990210446,1.17456359102,4,circle
0.787849138882,0.00245097548425,0.2045906309349620,0.31234597156398100,166463,577.00086655,409,407,0.7932071449940170,-0.496138938357,-0.976187060184,21.84192546273850,7.644197191892400,169.395784664,0.00820430051987,8.0622577483,1.0550458715596300,19.9858780166,4446394.35366,1.06561574326,169.395784664,12.0225283415,-6.01126917683,6.01371515604,7.21943153294,1.5707963267949000,4.25,0.0025,43.37321375821190,0.9778796411667630,0.0139726960836,6.903061367400820,0.986749115123,0.0100701913667,0.301886792453,24.089647391115700,0.868243142124,-0.216930457819,12.906140029,43.37321375821190,0.031758671370975100,2280,1365.71247744,2.36691581696,0.99511002445,5,circle
