sketch,Cosine of initial angle,Sine of initial angle,Length of bounding box diagonal,Angle of bounding box diagonal,Distance between first and last points,Cosine of angle between first and last points,Sine of angle between first and last points,Total gesture length,Total angle traversed,Absolute sum of angles traversed,Squared sum of angles traversed,Maximum speed of gesture,Total duration of gesture,drop_this
a,-0.7808688094430304,-0.6246950475544242,78.10249675906654,0.8760580505981934,42.0,6.123233995736766e-17,1.0,198.9368910046718,8.763734791918692,11.124113358113114,13.890762008128911,0.44140625,625.0,1
a,6.123233995736766e-17,-1.0,85.7962703152066,0.8596416150490297,46.389654018972806,0.1293391840677679,0.9916004111862218,212.5710966881409,10.995574287564278,14.441841962168118,15.870610584007569,0.3288888888888889,859.0,10
a,-0.8574929257125442,-0.5144957554275266,113.17243480636088,0.7604033697785282,48.27007354458868,0.2278844673778865,0.973688178796424,283.1716855176796,8.562607906102153,9.10547460597248,11.955596841857425,0.6622222222222223,828.0,11
a,-0.970142500145332,-0.2425356250363331,111.80339887498948,0.8233546085857627,74.33034373659252,0.1883483823189675,0.9821022792346162,301.8726596480701,7.853981633974483,11.029044203025547,12.31854207129175,0.9111111111111112,688.0,12
a,-0.8,-0.6,104.80458005259122,0.8393996637734166,70.34912934784623,0.0995037190209988,0.9950371902099892,272.0498844790805,8.63937979737193,10.34293271518786,7.152687801791781,0.4488888888888889,812.0,13
a,-0.8574929257125442,-0.5144957554275266,122.28654872879518,0.8896697753251036,83.02409288875127,-0.02408939297512,0.9997098084674824,310.2115262057678,9.103027406372735,9.835578532835068,12.018714542928716,0.6488888888888888,703.0,14
a,-0.8320502943378437,-0.5547001962252291,95.4829827770373,0.8076167287241673,58.0,6.123233995736766e-17,1.0,247.0095842718744,11.780972450961723,16.961734938915765,26.73426234150652,0.3515625,797.0,15
a,-0.4472135954999579,-0.8944271909999159,118.0889495253472,0.7913861157813615,46.57252408878007,0.2576626505603324,0.9662349396012464,319.9024968922355,9.366022138053657,10.872675290840418,7.285372263970357,0.6044444444444445,781.0,16
a,-0.8944271909999159,-0.4472135954999581,80.62257748298549,0.8029402234548508,55.36244214266564,0.343192952923539,0.9392649237907384,229.30508770924737,8.497482742767767,13.55442206627428,7.955922515046433,0.3288888888888889,844.0,17
a,6.123233995736766e-17,-1.0,113.37107214805724,0.5268046078390561,39.319206502675,0.9918816646858506,0.1271643159853654,305.9060980059887,13.578567625810509,19.10195310176144,16.075003051098502,0.4140625,1015.0,18
a,-0.5144957554275263,-0.8574929257125443,147.4347313220328,0.6652073327646333,36.7967389859482,0.7337606740181694,0.679408031498305,425.5083879920731,11.624370573979707,14.754078448266185,7.549978915102715,0.72265625,954.0,19
a,-0.5547001962252289,-0.8320502943378438,89.10667763978185,0.7695264804056583,34.17601498127012,0.3511234415883917,0.9363291775690444,213.9865481702804,9.888425569770185,12.779294136256482,14.019605071750322,0.2355555555555555,890.0,2
a,-0.6401843996644799,-0.7682212795973757,177.59786034747154,0.8212393820869,61.74139616173253,0.421111306454629,0.9070089677484316,498.5430631458741,10.210176124166829,11.463998620225093,3.803258157621504,1.0044444444444445,953.0,20
a,-0.8320502943378437,-0.5547001962252291,102.41581909060729,0.9448715328461078,81.32035415564789,0.2828320195947226,0.9591694577560164,214.0969400125575,10.210176124166829,15.10253014537988,12.150861229930433,0.3515625,922.0,3
a,-1.0,1.2246467991473532e-16,79.02531240052139,0.6688121579361327,42.95346318982906,0.2095290887308734,0.9778024140774096,191.6844324995746,8.63937979737193,10.199705015654011,11.835860256343317,0.33203125,735.0,4
a,-0.4472135954999579,-0.8944271909999159,120.91732712891069,0.791246049951337,88.10221336606703,0.4426676528313081,0.8966857582993166,326.7029652130651,10.995574287564274,17.619579691538824,16.805645792012076,0.6622222222222223,969.0,5
a,-0.9805806756909202,-0.1961161351381838,106.88779163215976,0.7390737126968415,70.3420215802759,0.2558925603162825,0.966705227861512,274.0772240229531,8.639379797371932,10.811621608658823,12.508865368323177,0.68,703.0,6
a,-0.9486832980505138,-0.316227766016838,114.97825881443848,0.8716037370732271,80.00624975587844,0.012499023551926,0.9999218841540816,292.37855046740947,8.961130351768574,9.798738970380146,11.929382546311588,0.5422222222222223,875.0,7
a,-0.6401843996644799,-0.7682212795973757,97.082439194738,0.9685089806599324,51.03920062069938,0.0391855666953546,0.9992319507315426,256.93535710967734,9.001924034636442,10.333620381088018,12.299848703064516,0.45703125,703.0,8
a,-0.8320502943378437,-0.5547001962252291,83.60023923410746,0.6411087688597059,44.91102314577124,0.2003962361487065,0.9797149322825656,214.84808928693275,8.63937979737193,13.3532112112857,14.607915024601358,0.28515625,875.0,9
b,6.123233995736766e-17,1.0,105.1094667477673,1.200890259338339,94.0850678907126,0.0425147166248137,0.9990958406831209,229.8958825218965,-3.141592653589793,12.641603926100723,16.064807635522886,0.4444444444444444,937.0,1
b,6.123233995736766e-17,1.0,79.17701686727027,1.0845536937073916,66.12110101926616,0.0604950604018903,0.9981684966311908,170.65587134621396,-1.5707963267948966,20.99353059321689,29.75434305800351,0.390625,969.0,10
b,6.123233995736766e-17,1.0,110.67971810589329,0.9652516631899266,85.0,6.123233995736766e-17,1.0,262.9544093306119,-2.3561944901923444,10.300530516667688,12.333172032862304,0.5422222222222223,781.0,11
b,6.123233995736766e-17,1.0,147.3295625460145,1.1587745365576532,131.54847015454038,-0.0912211292605885,0.9958306610947582,307.17863863144186,-8.098960297101346,9.387539077093011,6.645877112320984,1.42578125,609.0,12
b,6.123233995736766e-17,1.0,119.4026800369238,1.1934003595584717,105.0,6.123233995736766e-17,1.0,247.6684009903824,-3.141592653589792,13.620299726692274,16.247547912301222,1.7822222222222222,704.0,13
b,0.1643989873053572,0.9863939238321436,121.24768039018312,0.9553406679440442,91.00549433962765,-0.2087786032906212,0.9779629312034364,270.53651200779177,-7.853981633974481,13.023215060861588,13.22453532773406,0.5377777777777778,656.0,14
b,6.123233995736766e-17,1.0,96.51942809610924,0.9770466600841254,68.26419266350405,-0.0878938102963572,0.996129850025381,226.11420916088343,-3.141592653589794,11.56016305979379,13.22408584443713,0.4488888888888889,719.0,15
b,6.123233995736766e-17,1.0,71.55417527999327,1.1071487177940904,57.0,6.123233995736766e-17,1.0,139.01296628788657,-2.3561944901923453,13.84082335739436,15.911853345511714,0.25390625,922.0,16
b,0.447213595499958,0.8944271909999159,89.04493247793498,1.0014831356942346,69.6419413859206,0.2728241002747405,0.962063932547769,181.9733361893301,-1.570796326794897,11.030277962562876,13.24886923979432,0.5422222222222223,750.0,17
b,0.5547001962252291,-0.8320502943378437,259.4224354214569,1.089909046599561,148.2194319244275,0.8096104433943876,-0.5869675714609309,621.7949850528179,12.566370614359172,19.672491126452726,17.544090103855982,3.30078125,1109.0,18
b,0.8944271909999159,-0.4472135954999579,207.6174366473105,1.18045126894398,89.94442728707543,0.8783201181308973,-0.4780729756915011,489.5167806340141,14.137166941154067,23.502410681084054,28.978097782115597,2.6355555555555554,1125.0,19
b,6.123233995736766e-17,1.0,115.0,0.9272952180016122,87.09190547921202,0.0459284933311598,0.9989447299527284,290.91714705849745,-1.5707963267948966,9.730917508855182,11.920363669438926,0.87890625,813.0,2
b,-0.1240347345892084,0.9922778767136676,196.42046736529267,1.006800409766438,166.02710622064097,0.0180693386055478,0.9998367361736406,437.1452939343702,6.604935861576229,7.9478206810458625,2.2106375616063847,1.0,781.0,20
b,6.123233995736766e-17,1.0,126.26955294131676,1.0575440539286356,106.73331251301067,0.2248595066987584,0.9743911956946198,254.55470996233288,-3.141592653589793,12.184716621951829,13.970010951459589,1.0625,765.0,3
b,6.123233995736766e-17,1.0,98.8382517044894,1.0980991910803073,87.09190547921202,-0.0459284933311599,0.9989447299527284,228.40623593757957,-3.141592653589793,15.468512471962862,18.24852134769008,0.64,907.0,4
b,6.123233995736766e-17,1.0,97.09788875150684,1.0056468867881372,77.10382610480494,0.051878099986412,0.9986534247384324,227.1681748095353,-3.1415926535897927,11.93825296741804,14.897397076300148,0.4765625,813.0,5
b,6.123233995736766e-17,1.0,111.80339887498948,1.1071487177940904,93.0,6.123233995736766e-17,1.0,247.9149699129399,-3.141592653589792,10.087640243152396,12.776495197259573,0.2844444444444444,813.0,6
b,0.447213595499958,0.8944271909999159,113.85077953180644,0.8974271258234362,72.17340230306452,0.0692775986783112,0.99759742096768,290.64888922298354,-2.356194490192345,12.893668560677517,13.783426642861532,0.5422222222222223,719.0,7
b,6.123233995736766e-17,1.0,120.41594578792296,1.0104364498900535,84.00595217006948,0.0119039184030139,0.9999291458531722,307.68689835562304,-9.424777960769378,13.17572065638727,13.76795782312855,0.6488888888888888,735.0,8
